page_id,title,revision_id,page_length
26992194,Nexhip Draga,1236738502,10827
27166018,Niazi Demi,1209346411,1470
32349690,Qamil Musa Haxhi Feza,1198224146,659
13849010,Qari Ziauddin,1245217124,3975
28077287,Rasih Dino,1180949327,3136
31301973,Refo Çapari,1222381064,3211
30559670,Sabri Godo,1230739582,10609
28634810,Safet Butka,1189442848,9518
62554029,Spartak Braho,1224650124,3245
30489046,Themistokli Gërmenji,1241037317,12445
60567913,Uran Butka,1196422551,4404
19887745,Xhelal Koprëncka,1209148780,906
43393251,Ylli Asllani,1221605713,2900
12829636,Ziauddin (Afghan militia leader),1150044800,5470
71926293,Abdelhakim Belabed,1218173615,3100
76780000,Abdelkader Zoukh,1250270534,9501
61607609,Abdyl Ypi,1220281072,2687
5494953,Adrian Neritani,1196135017,3353
63869149,Afrim Tole,1241836925,3853
72041110,Ali Aoun,1214835889,4029
31509315,Artur Kuko,1112281132,1046
68783046,Athanas Shundi,1220369492,10066
14069803,Avni Rustemi,1229276965,3766
72217382,Aïssa Bekkai,1219685755,1589
72004407,Basma Azouar,1192088820,1871
19888020,Bedri Pejani,1220757655,14573
30070258,Behxhet Nepravishta,1180949734,2452
9088115,Chatin Sarachi,1141930406,8586
77299043,Chaâbane Aït Abderrahim,1234096174,3885
31573475,Eduard Shalsi,1173107489,5771
10398792,Gjon Markagjoni,1227760361,8382
22352985,Hysni Milloshi,1218412314,4308
27611512,Ibrahim Temo,1228151428,19117
41883528,Kadri Prishtina,1198167947,6257
40795168,Kryeziu family,1236739222,6395
59103836,Lamine Bechichi,1111537825,1481
28382311,Mehmet Tahsini,1239924043,1017
55668009,Menduh Zavalani,1235824554,47411
59079383,Mohamed Seghir Babes,1226280389,790
58108950,Musa Qazimi,1235824584,16548
32349706,Mustafa Ndroqi,1198219291,2240
19887761,Nebi Sefa,1244486537,1011
59012695,Noureddine Bahbouh,1099284595,1102
28362818,Sabit Lulo,1180950488,1206
33944243,Sali Nivica,1240539074,7540
19887929,Syreja Vlora,1186986269,6304
25589553,Tefik Mborja,1234673487,5121
30250352,Thoma Orologa,1180949774,4344
31973610,Visar Ymeri,1248230838,3536
41653012,Visarion Xhuvani,1135323365,11432
70365511,Xhavid Leskoviku,1180950536,4155
71208531,Xhelal Sveçla,1217259369,4299
20381423,Xhezair Zaganjori,1143896123,4060
54102033,Ylli Vesel Shehu,1250811470,1640
15757646,Ymer Prizreni,1215667416,5524
76446110,Abdelkrim Benmbarek,1245801726,3034
76412962,Abderrahmane Meziane Chérif,1220757834,4961
50042323,Abdeslam Bouchouareb,1203569345,5005
73468106,Aboubakr Belkaid,1176411375,3763
73393142,Ahmed Bidani,1212186965,2982
77040115,Ahmed Hamiani,1226452639,2544
59046398,Amar Makhloufi,1235394946,1013
54801060,Benaouda Hadj Hacène Bachterzi,1237478919,1544
67257964,Bouras Djamel,1226437538,1608
59054253,Brahim Chibout,1053460621,1389
71905761,Brahim Djamel Kassali,1172500304,4953
40934630,Fatiha Serour,1218302579,2588
73464226,Fayçal Bentaleb,1217131488,2625
73546432,Fazia Dahleb,1244337610,1983
72225113,Foued Chehat,1242037866,1648
72374662,Hamza Al Sid Cheikh,1248318178,1402
71936152,Hocine Cherhabil,1242619010,2644
69357237,Ibrahim Boughali,1230623499,2850
63374819,Kamel Beldjoud,1214832676,3666
71816968,Kamel Bidari,1249963763,23202
71943076,Kaoutar Krikou,1213795388,1903
54516484,Mohamed Belouizdad,1169278443,1992
59103577,Mohamed Bensalam,1235672021,1109
71984080,Mohamed Bouslimani,1224118485,1802
77002608,Mohamed Cherif Belmihoub,1226553342,3760
59103344,Mohamed Maghlaoui,1053469610,921
71965500,Mohamed Tarek Belaribi,1241671793,3090
73784749,Mokhtar Didouche,1227200392,3097
76992156,Nadir Kassab,1226271746,2923
72382864,Nassim Diafat,1213342432,3179
77147712,Rabah Bouaziz,1232492563,3006
72391597,Rachid Bladehane,1186319378,2393
59079334,Sassi Lamouri,1181986973,1835
19132132,Saïd Boualam,1240883461,3261
72426997,Saïd Chibane,1230435685,2530
55843103,Souad Bendjaballah,1134649751,2807
73643212,Taha Derbal,1213344636,2603
72480952,Yahia Boukhari,1186319308,1292
71926661,Yassine Merabi,1214841607,2234
71926181,Youcef Belmehdi,1239235131,2075
72050160,Youcef Chorfa,1214834266,4366
71993130,Abdelhak Saihi,1218004839,2018
71935892,Abderezak Sebgag,1212579707,2504
71879294,Abderrachid Tabbi,1218530483,2752
2911041,Abel Chivukuvuku,1165626565,3214
70373705,Abraão Gourgel,1124441544,2048
59146803,Adalberto Costa Júnior,1244123151,2858
67009617,Adjany Costa,1242000475,5624
76157103,Adão Francisco Correia de Almeida,1209524394,1665
71943191,Ahmed Zeghdar,1213778323,2529
59160194,Alexandre Sebastião André,1172178750,1203
76863557,Amar Mohammedi,1226279231,3455
76157096,Ana Paula Chantre Luna de Carvalho,1209514022,1652
66494161,Arlete Chimbinda,1177486404,4602
52461596,Azzedine Mihoubi,1233387309,4331
72067076,Bachir Messaitfa,1186318318,1306
76156970,Bernarda Gonçalves Martins,1210193481,1351
71800445,Brahim Merad,1244511083,4180
35728776,Carolina Cerqueira,1241977204,11147
59103471,Cherif Rahmani,1053461144,997
76156983,Diamantino Pedro Azevedo,1209522689,1572
76157043,Faustina Fernandes Inglês de Almeida Alves,1251032908,1399
70373619,Fiel Domingos Constantino,1217387083,2089
72040941,Hichem Sofiane Salaouatchi,1212186286,2593
7182495,Jeremias Chitunda,1220287872,4400
76157150,Jofre Van-Dúnem Júnior,1242307432,1806
71062166,João Baptista Borges,1227794006,12993
14941379,Kafundanga Chingunji,1191431794,2081
71976718,Kamel Rezig,1215901775,2763
71936426,Karim Bibi Triki,1213794210,4336
71856593,Laid Rebiga,1248662394,1916
71984452,Lakhdar Rakhroukh,1186317568,2145
75419664,Layachi Yaker,1226060720,6464
76216650,Mohamed Ali Boughazi,1213870570,3549
69509983,Naima Salhi,1213404244,1260
71062546,Paulino Baptista,1242307496,3196
67613741,Raul Danda,1158035855,3443
75534043,Salim Saadi,1229426851,3614
72004676,Samia Moualfi,1212181372,2076
71935626,Soraya Mouloudji,1226335614,2262
72058737,Yacine Oualid,1214837789,3437
59124706,Álvaro Arnaldo Craveiro,1194150567,879
76157147,Ana Paula Sacramento Neto,1227909121,1382
59144273,Augusto da Silva Tomás,1219179734,2787
70373382,Branca Manuel Espirito Santo,1142474441,2046
77325498,Clement Antonio,1241563106,1080
15350356,Daniel Ntongi-Nzinga,1187961349,1053
11645534,David Mendes,1024544204,1851
12740205,Elias Salupeto Pena,1220287990,2831
59144241,Fernando Faustino Muteka,1241977176,3305
78105044,Francisco Manuel Monteiro de Queiróz,1250824530,89
76157012,Jesus Faria Maiato,1209631313,1639
57651944,Johnny Eduardo Pinnock,1242307359,727
264097,Jonas Savimbi,1246026420,38738
59124604,José Aníbal Lopes Rocha,1242307479,2308
76157101,José Carvalho da Rocha,1242307441,1388
41153135,José Filomeno dos Santos,1228399791,10175
77643490,José Jacinto Van-Dúnem,1242841039,12344
76157091,José Luis de Matos,1242307337,1277
57583596,José Ndele,1154991360,706
76156726,José Vieira Dias Van-Dúnem,1227004140,1330
70373537,José da Rocha,1153488959,2510
72340359,João Ernesto dos Santos,1226309621,1905
15020148,Kambamba Kulaxingo,1093124425,2624
66363558,Luzia Inglês Van-Dúnem,1240720719,6282
71062374,Luís Gomes Sambo,1242306989,6568
59144188,Manuel Bernardo de Sousa,1233607984,2036
76151935,Manuel Neto da Costa,1209411144,1548
76151917,Manuel Tavares de Almeida,1209411217,1567
34653679,Manuel Vicente,1250493481,13264
76151884,Marcos Alexandre Nhunga,1209413818,1556
76151944,Maria Cândida Pereira Teixeira,1218506469,1301
76156747,Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1209513699,1991
41094312,Mfulupinga Nlando Victor,1243272129,3393
76151960,Paula Cristina Francisco Coelho,1209410923,1300
76156762,Pedro Mutinde,1209539718,4028
59124349,Pedro Pedalé,1115715527,795
70373806,Pinda Simão,1118804168,2403
4553552,Randolph Beazer,1247631912,1891
76157000,Rosa Luís de Sousa Micolo,1246271741,1244
59124543,Santana André Pitra,1165626399,1512
76496943,Saíde Mingas,1251004422,17845
39196935,Studiation Brown,825090349,1302
77426307,Alex Browne (politician),1247631794,1112
56554702,Alincia Williams-Grant,1241592542,4804
33664981,Antonio Bermejo,1225811362,3544
6073785,Antonio Beruti,1243926512,4689
32457882,Bernard Percival,1241564686,874
77554952,Caleb Gardiner,1241563135,1432
70458059,Cheryl Mary Clare Hurst,1242813942,3059
70459566,Colin O'Neil Browne,1241563118,1667
77426320,David Massiah,1247632248,1118
77426402,Dwayne George,1247631631,1819
70457778,Edmond Mansoor,1248648606,4727
77426334,Fabian Jones,1247632282,1231
70464491,Gail Christian,1241563122,5215
76609711,Germán Alfaro,1223272051,7600
1370238,Harold Lovell,1241564680,5590
9284882,Héctor Bidonde,1250713562,5691
75306515,Jamale Pringle,1241592215,1422
395065,James Carlisle,1242152285,6343
69840005,Joanne Massiah,1241592526,3314
59327216,Joaquín Belgrano,1229623675,5317
34245516,Joaquín Samuel de Anchorena,1227458965,6706
77426296,Johnathan Joseph (politician),1241563151,1573
34244737,Juan Agustín Augier,1217815148,422
75877571,Juan Alemann,1227499891,2172
77067103,Kelvin Simon,1241592202,5411
77426354,Kiz Johnson,1247632301,1340
77328102,Knacyntar Nedd,1247514093,2145
77426752,Mackenzie Frank,1247632329,2005
76610410,Marco Aurelio Avellaneda,1233010330,6933
66270219,Melford Nicholas,1241592535,2415
70457407,Osbert Richard Frederick,1241563130,3858
77328024,Philip Shoul,1247632342,1240
77426239,Rawdon Turner,1247632346,1085
71834725,Rick James (actor),1213836084,5835
77426276,Shawn Nicholas,1247632364,1470
75227572,Shenella Mary Shadida Govia,1241563138,1774
34237682,Silvano Bores,1225775647,543
1706347,Tim Hector,1227026341,8227
33983813,Uladislao Augier,1217815124,777
866767,Wilfred Jacobs,1246340247,3667
36172495,William Haynes-Smith,1250666577,11124
34245468,Alberto Manuel Campos,1166331326,3403
30075886,Alejo Castex,1231276700,10333
71194197,Alfredo Olmedo,1226445117,1694
42602703,Andrés Larroque,1248572448,6847
63021574,Carlos Corach,1227620960,1309
66679031,Carlos Kunkel,1225799546,1342
72175365,Carlos de la Rosa,1209668330,3252
37675541,Dámaso Centeno,1245130520,1765
49155928,Exequiel Bustillo,1188044851,3828
53925600,Federico Helguera,1162056054,3344
64207179,Fernando Iglesias (Argentine politician),1217866134,11727
59875492,Fernando Nadra,1238199017,41481
75650879,Guillermo Francos,1245178482,7515
48718026,Guillermo Montenegro,1096175549,1742
57444909,Héctor Toty Flores,1067754685,1666
68921848,Jorge Coscia,1227459720,2489
68279846,Juan Carlos Del Bello,1225784914,1707
35019444,Juan Fugl,1148828249,2707
62063026,Juan José Gómez Centurión,1225793565,2157
50311956,Juan Mignaburu,1166892817,3764
34238187,Julián de Leyva,1234698824,787
63411508,Lucio Victorio Mansilla,1210433646,9136
33775919,Luis Carlos Gómez Centurión,1225793589,550
34269206,Luis L. Domínguez,1234469779,8905
76905059,Lázaro Chiappe,1232135530,2021
34116308,Manuel José García,1227616001,1649
60735110,Marcelo Muniagurria,1242262794,3348
2646684,Mariano Moreno,1248788227,81967
65315071,Mario Cafiero,1135193654,749
62520482,Martín Guzmán,1227515965,9977
75510988,Martín Menem,1247590161,12472
64796030,Miguel Ángel Pesce,1211044406,5045
24435828,Máximo Etchecopar,1243279888,4995
33618474,Mónica López (politician),797826672,1417
67425992,Nicolás Massot,1222899462,4766
34227726,Norberto La Porta,1225799869,1984
59157871,Ricardo Kennedy,1240898573,3441
74226514,Rossana Chahla,1227517224,13949
30408343,Rómulo Sebastián Naón,1193099129,4920
68384265,Santiago G. O'Farrell,1228141029,4113
34245355,Santiago Gallo,1039135531,2030
11037532,Abel Posse,1245068036,38432
65165279,Aldo Pignanelli,1106856167,788
13969711,Alejo Peyret,1138003698,23785
37614763,Amán Rawson,1226040049,5363
38182964,Andrias Ghukasyan,1214660728,4486
38935009,Aram Grigoryan (politician),1214660921,2965
43861613,Aram Manukyan,1214661551,3205
43580622,Arístides Villanueva,1227361697,4420
75181739,Ashot Arsenyan,1218601969,6953
69622019,Badal Muradyan,1214662146,2853
4711836,Carlos Petroni,1199679676,10248
44314693,Claudio Uberti,1245464700,18043
61319752,Enrique S. Quintana,1016343362,4965
33570439,Gabriel Noradoungian,1240224564,9480
50404059,Garo Paylan,1249622641,24097
34177704,Genrikh Poghosyan,1214662694,4074
51382743,Gevorg Ghazaryan (politician),1180063729,1730
51382725,Gevorg Melik-Karagyozyan,1180063778,1807
65758698,Gurgen Egiazaryan,1103745376,3279
62954035,Hayk Chobanyan,1231768992,5359
47716578,Hrant Maloyan,1250311867,6022
36611677,Héctor Tizón,1222501416,3052
67643004,Ishkhan Saghatelyan,1243510830,10566
5313724,Israel Ori,1214986895,8209
75290900,Jorge Yoma,1191859791,7844
43733197,Juan Pablo Schiavi,1195011460,13649
74152574,Karen Sargsyan (sociologist),1217803359,7610
17671927,Khachatur Malumian,1210493386,7257
42075810,Martiros Sarukhanyan,1214669503,1816
32035804,Martín Sabbatella,1166890663,10338
76521170,Mikayel Kotanyan,1226313476,5060
76744761,Narine Tukhikyan,1233470777,4166
39480125,Parunak Ferukhan,1214660598,2030
38740149,Paul Paul,1215924661,3330
76520554,Ruben Miroyan,1228290809,3195
52825646,Ruben Mirzakhanyan,1214661775,6008
49890680,Tigran Karapetyan,1231946069,4025
19327926,Tigran Khzmalyan,1237979345,14561
76744874,Vahagn Hovakimyan,1224369324,7504
37676127,Vahan Minakhoryan,1214661649,2164
68921820,Vigen Chitechyan,1124301399,8309
67603883,Alfons Adam,1244617588,4498
6149096,Andreas Hörtnagl,1215046038,1898
32850726,Anton Hofer,1215044432,2252
37015016,Citizens' Ministry,1200893975,7286
19949832,Count Václav Antonín Chotek of Chotkov and Vojnín,1214682376,3292
2732436,Eduard Hedvicek,1215043825,1674
76374912,Eduard von Grebmer zu Wolfsthurn,1216075327,5445
63115789,Ernst Hampel (politician),1232067132,1341
77411982,Franz Dinghofer,1251039794,14982
20006161,Franz Jetzinger,1214236945,4793
38346616,Friedhelm Frischenschlager,1223497595,4730
7719777,Friedrich Wilhelm von Haugwitz,1215043658,11438
31313608,George Abraham von Dyhrn,1231555745,890
4197699,Hans Ferlitsch,1240489075,2318
36079970,Hans Peter Haselsteiner,1226351964,6755
48931564,Heinrich Alfred Barb,1214670404,2362
70735542,Hermann Stern,1215044008,8056
63774722,Hrayr Tovmasyan,1243511026,2105
4231920,Hubert Klausner,1242810704,7263
4256918,Hugo Jury,1225140706,9303
4252669,Ingo Appelt,1244447844,3032
4825936,Joseph Buttinger,1214670744,6974
32207173,Joseph Kenner,1169137921,2721
39588754,Jürgen Himmelbauer,1215045853,945
40573188,Kegham Vanigian,1214670011,2533
901939,Konstantin Jireček,1242771327,14103
862679,Leopold Berchtold,1228353209,24083
26429545,"Maximilian Anton Karl, Count Baillet de Latour",1226152632,3573
60026170,Michael Killisch-Horn,1106829544,510
41520046,Ohannes Tchekidjian,1215201883,5902
3946756,Prince Carl of Solms-Braunfels,1237091760,14602
42869603,Richard von Coudenhove-Kalergi,1243336388,55319
54156092,Serop Zakaryan,1222543352,1088
77186516,Sophia Kircher,1242552103,1647
8048537,Suren Shadunts,1242146414,5481
39619941,Theodor Kery,1215046740,458
46179557,Ulrich Habsburg-Lothringen,1216088776,2479
66901795,Usub Bek Temuryan,1243494457,2571
19929382,Vartkes Serengülian,1214669611,3769
25145889,Walter Guggenberger,1154443829,2811
7919394,Alexander Zach,1215187552,2085
749702,Anton von Winzor,1231556425,1197
65342249,Brigitta Pallauf,1215184008,3380
12993060,Christoph Matznetter,1250934182,3807
19358024,Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1243965585,2694
8702718,Elmar Lichtenegger,1215483185,2663
5612787,Emil Sax,1215185845,4431
2503707,Ferdinand Mannlicher,1250188481,11761
42225075,Franz Leitner (politician),1215054152,994
60176601,Franz Moroder,1228417930,5122
42418604,"Georg Adam, Prince of Starhemberg",1215186237,11141
4429902,Gerhard Pfanzelter,1238011369,4857
68435651,Gisela Wurm,1215187415,1316
65497736,Gottfried von Kühnelt-Leddihn,1235730032,3371
74627821,Gregor Razumovsky (activist),1236098636,8486
49426725,Gundaker Thomas Starhemberg,1246777408,3151
76191109,Heidemaria Onodi,1246630894,3715
23445933,Heinz Nittel,1226214871,2005
27135394,Horst Rosenkranz,1215185628,3450
38482652,Johann Anton von Pergen,1248404055,12185
30639133,Johann Gregor Memhardt,1226209962,2154
41832717,Josef Staribacher,1215186443,828
5529040,Julius Lippert (historian),1248432097,2944
16195728,Julius Tandler,1153989705,4068
25798636,Józef Kożdoń,1215053905,9721
13125870,Jürgen Mandl,1215054486,2041
4999454,Karl Freiherr von Vogelsang,1231556362,5437
44960359,Karl Lütgendorf,1231556108,1172
50536736,Karl Schmitzer,1215186109,566
28341664,Karl von Zinzendorf,1240906258,5696
14600677,"Leopold, Count von Thun und Hohenstein",1215186791,5895
187247,Leopold Poetsch,1248552155,3212
68477408,Martin Kocher,1241392879,3295
76198558,Peter Schieder,1239601735,7124
76188791,Peter Strasser (politician),1240951343,4883
77154880,Reinhold Lopatka,1250933660,2215
69330409,Renate Mann,1099978355,2667
77177053,Sonja Zwazl,1235856770,3453
28636801,Thomas Prinzhorn,1215185462,6521
24165403,Walter Pfrimer,1249288737,7024
19746969,Wladimir von Pawlowski,1242446030,1368
9465756,Abdurrahman Fatalibeyli,1241052691,10912
73701173,Afshan Gadimbeyova,1243747432,4318
38404400,Akram Aylisli,1247420701,33645
62074177,Ali Asadov,1237483914,7404
63443500,Ali Huseynli,1245270394,3102
52606271,Ali Ibrahimov,1244157806,4830
29805797,Ali M. Hasanov,1245282668,9123
75545138,Aliabbas Salahzade,1211047878,4416
44931890,Alisahib Huseynov,1246588423,2102
33052057,Alovsat Bakhshiyev,1207738330,3694
71947937,Araz Alizadeh,1246060446,2688
50559566,Asaf Hajiyev,1235219197,13861
76189327,Ashraf Bey Taghiyev,1213943020,2696
76441463,Bakhish bey Rustambeyov,1246060690,4314
75660406,Chimnaz Aslanova,1245503366,4103
10253465,Dilara Aliyeva,1236388140,5415
29360859,Elchin Afandiyev,1243626881,6493
52593010,Enver Alikhanov,1161577254,1846
66711673,Farhad Hajiyev,1246286594,5607
64212742,Fazail Agamali,1250642641,10637
71089676,Fazail Ibrahimli,1243509483,3346
76441761,Garib Karimoğlu,1246060699,2858
76013404,Gudrat Gasanguliev,1234004989,4278
76325547,Haji Molla Ahmad Nuruzade,1239189558,15069
72909644,Hasan Hasanli,1244589428,3074
75801198,Hasan Majidov,1236490430,6934
29447701,Huseyngulu Baghirov,1199215674,4051
76890519,Irshad Aliyev,1225308278,1689
33064998,Jamil Hasanli,1248447237,15468
66505277,Leyla Abdullayeva,1230366514,4422
66066441,Mammad Gurbanov,1237445893,4735
75670592,Mirgasim Cheshmazer,1226415908,10401
75864792,Musa Hacigasimov,1236490449,2629
71057696,Muzamil Abdullayev,1223484511,2656
63784079,Sahil Babayev,1207600921,7696
13188885,Solomon Grobshtein,1067081975,1851
66499801,Tarlan Aliyarbayov,1240965677,23931
52592892,Teymur Guliyev,1232296078,1711
65319366,Vilayat Eyvazov,1208072134,11665
40963939,Zakir Hasanov,1224596001,11269
29387873,Abid Sharifov,1243510547,6319
57656422,Ahmad Kordary,1187254621,782
52050192,Ajdar Ismailov,1157124148,12553
64997636,Anar Karimov,1245270299,7756
73414366,Arastun Javadov,1147579900,2691
4750890,Bakhtiyar Vahabzadeh,1249675761,17037
20488566,Boris Kevorkov,1217681945,5074
30612315,Eldar Namazov,1206211739,4910
63969137,Elshad Mirbashir oghlu,1194162044,7479
66166950,Fuad Naghiyev,1248662296,3857
65640632,Gurban Khalilov,1243520102,6645
52606355,Hasan Seyidov,1148385245,784
73749273,Hasan Seyidov (scientist),1198202282,4448
52592854,Huseyn Rahmanov,1106104383,1651
72266644,Ikhtiyar Shirinov,1243510572,1989
45628825,Ilham Madatov,1011331249,5051
77024072,Jeyhun Jalilov,1228687346,5187
77294368,Keith Bell (Bahamian politician),1243023554,5929
75784519,Lutfali bey Behbudov,1226230854,11919
73560444,Majnun Mammadov,1248225337,4578
76496477,Makhmud Mamed-Guliev,1243510539,7271
52592974,Mamed Iskenderov,1244201378,6417
19551770,Mammad agha Shahtakhtinski,1185599926,9725
75252047,Movsum Samadov,1241255046,14188
70572331,Musa Mammadov,1243510550,7333
72787223,Namig Nasrullayev,1158375491,2423
50497831,Nurali Yusifbayli,1243510541,6968
61498150,Parviz Shahbazov,1213858589,3257
66923230,Ramin Mammadov,1248662299,6187
3197492,Rovshan Javadov,1250266366,15049
75573577,Rovshen Rzayev,1208078338,3191
52592948,Sadig Rahimov,1245157534,10563
68359822,Saftar Jafarov,1222623261,5831
72968230,Shirali Akhundov,1213002608,8307
59571031,Siyavush Novruzov,1243520070,9822
59439237,Suleyman Rahimov,1193027962,13967
75539115,Tahir Mirkishili,1210593900,4214
36758770,Vidadi Isgandarov,1249203876,6085
75356945,Vugar Mustafayev (minister),1208077047,4370
73087745,Yusif Ziya Talibzadeh,1243510546,24352
73057190,Zahid Oruj,1213965350,4661
31018072,Abdulhussain bin Ali Mirza,1195787872,1482
74066377,Abdulla Adel Fakhro,1223700072,4004
20277831,Abdullah bin Hamad bin Isa Al Khalifa,1241499929,8789
67065341,Abdullah bin Isa Al Khalifa,1182830303,3091
39724369,Abdullatif Al-Mahmood,1227285970,1627
65632666,Ahmed Behzad (Bahrain),1063482737,2125
76688155,Ahmed bin Mohamed Al Khalifa,1221144846,2041
76752579,Ali bin Khalifa Al Khalifa,1250923005,2278
65751314,Ammar Al Bannai,1231654401,4242
63913368,Aymen Tawfeeq Almoayed,1227286508,7152
74118304,Charles Carter (Bahamian journalist),1162793449,5673
45150982,Essam Khalaf,1006167519,1581
74677674,Eugene Dupuch,1181612386,7437
31017934,Fahmi al-Jowder,1172576081,1912
31017866,Faisal al-Hamar,1218302538,1225
76551524,Hala bint Mohammed Al Khalifa,1232948277,4532
65663966,Hamad Al Kooheji,1233118749,3372
64192552,Harold Christie,1142294843,5422
31017893,Ibrahim ibn Khalifa Al Khalifa,1156409493,2515
46951527,Isa bin Abdulrahman Al Hammadi,1098344827,2296
67069030,Isa bin Ibrahim Al Khalifa,1146485875,1815
31017985,Jameel Humadan,1148959062,4813
