page_id,title,revision_id,page_length,article_quality_prediction
62554029,Spartak Braho,1224650124,3245,Start
30489046,Themistokli Gërmenji,1241037317,12445,C
60567913,Uran Butka,1196422551,4404,Start
19887745,Xhelal Koprëncka,1209148780,906,Stub
43393251,Ylli Asllani,1221605713,2900,Start
12829636,Ziauddin (Afghan militia leader),1150044800,5470,Start
71926293,Abdelhakim Belabed,1218173615,3100,Start
76780000,Abdelkader Zoukh,1250270534,9501,Start
61607609,Abdyl Ypi,1220281072,2687,Stub
5494953,Adrian Neritani,1196135017,3353,Start
63869149,Afrim Tole,1241836925,3853,Stub
72041110,Ali Aoun,1214835889,4029,Start
31509315,Artur Kuko,1112281132,1046,Stub
68783046,Athanas Shundi,1220369492,10066,C
14069803,Avni Rustemi,1229276965,3766,Start
72217382,Aïssa Bekkai,1219685755,1589,Stub
72004407,Basma Azouar,1192088820,1871,Stub
19888020,Bedri Pejani,1220757655,14573,C
30070258,Behxhet Nepravishta,1180949734,2452,Stub
9088115,Chatin Sarachi,1141930406,8586,C
77299043,Chaâbane Aït Abderrahim,1234096174,3885,Start
31573475,Eduard Shalsi,1173107489,5771,Start
10398792,Gjon Markagjoni,1227760361,8382,C
22352985,Hysni Milloshi,1218412314,4308,Start
27611512,Ibrahim Temo,1228151428,19117,GA
41883528,Kadri Prishtina,1198167947,6257,Start
40795168,Kryeziu family,1236739222,6395,Start
59103836,Lamine Bechichi,1111537825,1481,Stub
28382311,Mehmet Tahsini,1239924043,1017,Stub
55668009,Menduh Zavalani,1235824554,47411,FA
59079383,Mohamed Seghir Babes,1226280389,790,Stub
58108950,Musa Qazimi,1235824584,16548,GA
32349706,Mustafa Ndroqi,1198219291,2240,Stub
19887761,Nebi Sefa,1244486537,1011,Stub
59012695,Noureddine Bahbouh,1099284595,1102,Stub
28362818,Sabit Lulo,1180950488,1206,Stub
33944243,Sali Nivica,1240539074,7540,Start
19887929,Syreja Vlora,1186986269,6304,Start
25589553,Tefik Mborja,1234673487,5121,Start
30250352,Thoma Orologa,1180949774,4344,Start
31973610,Visar Ymeri,1248230838,3536,Stub
41653012,Visarion Xhuvani,1135323365,11432,C
70365511,Xhavid Leskoviku,1180950536,4155,Start
71208531,Xhelal Sveçla,1217259369,4299,Start
20381423,Xhezair Zaganjori,1143896123,4060,Start
54102033,Ylli Vesel Shehu,1250811470,1640,Stub
15757646,Ymer Prizreni,1215667416,5524,Start
76446110,Abdelkrim Benmbarek,1245801726,3034,Stub
76412962,Abderrahmane Meziane Chérif,1220757834,4961,Start
50042323,Abdeslam Bouchouareb,1203569345,5005,Stub
73468106,Aboubakr Belkaid,1176411375,3763,Start
73393142,Ahmed Bidani,1212186965,2982,Start
77040115,Ahmed Hamiani,1226452639,2544,Stub
59046398,Amar Makhloufi,1235394946,1013,Stub
54801060,Benaouda Hadj Hacène Bachterzi,1237478919,1544,Stub
67257964,Bouras Djamel,1226437538,1608,Stub
59054253,Brahim Chibout,1053460621,1389,Stub
71905761,Brahim Djamel Kassali,1172500304,4953,Start
40934630,Fatiha Serour,1218302579,2588,Start
73464226,Fayçal Bentaleb,1217131488,2625,Stub
73546432,Fazia Dahleb,1244337610,1983,Stub
72225113,Foued Chehat,1242037866,1648,Stub
72374662,Hamza Al Sid Cheikh,1248318178,1402,Stub
71936152,Hocine Cherhabil,1242619010,2644,Stub
69357237,Ibrahim Boughali,1230623499,2850,Stub
63374819,Kamel Beldjoud,1214832676,3666,Stub
71816968,Kamel Bidari,1249963763,23202,GA
71943076,Kaoutar Krikou,1213795388,1903,Stub
54516484,Mohamed Belouizdad,1169278443,1992,Start
59103577,Mohamed Bensalam,1235672021,1109,Stub
71984080,Mohamed Bouslimani,1224118485,1802,Stub
77002608,Mohamed Cherif Belmihoub,1226553342,3760,Start
59103344,Mohamed Maghlaoui,1053469610,921,Stub
71965500,Mohamed Tarek Belaribi,1241671793,3090,Start
73784749,Mokhtar Didouche,1227200392,3097,Start
76992156,Nadir Kassab,1226271746,2923,Stub
72382864,Nassim Diafat,1213342432,3179,Stub
77147712,Rabah Bouaziz,1232492563,3006,Start
72391597,Rachid Bladehane,1186319378,2393,Stub
59079334,Sassi Lamouri,1181986973,1835,Stub
19132132,Saïd Boualam,1240883461,3261,Start
72426997,Saïd Chibane,1230435685,2530,Stub
55843103,Souad Bendjaballah,1134649751,2807,Stub
73643212,Taha Derbal,1213344636,2603,Stub
72480952,Yahia Boukhari,1186319308,1292,Stub
71926661,Yassine Merabi,1214841607,2234,Stub
71926181,Youcef Belmehdi,1239235131,2075,Stub
72050160,Youcef Chorfa,1214834266,4366,Start
71993130,Abdelhak Saihi,1218004839,2018,Stub
71935892,Abderezak Sebgag,1212579707,2504,Stub
71879294,Abderrachid Tabbi,1218530483,2752,Stub
2911041,Abel Chivukuvuku,1165626565,3214,Start
70373705,Abraão Gourgel,1124441544,2048,Stub
59146803,Adalberto Costa Júnior,1244123151,2858,Stub
67009617,Adjany Costa,1242000475,5624,Start
76157103,Adão Francisco Correia de Almeida,1209524394,1665,Stub
71943191,Ahmed Zeghdar,1213778323,2529,Stub
59160194,Alexandre Sebastião André,1172178750,1203,Stub
76863557,Amar Mohammedi,1226279231,3455,Start
76157096,Ana Paula Chantre Luna de Carvalho,1209514022,1652,Stub
66494161,Arlete Chimbinda,1177486404,4602,Start
52461596,Azzedine Mihoubi,1233387309,4331,Start
72067076,Bachir Messaitfa,1186318318,1306,Stub
76156970,Bernarda Gonçalves Martins,1210193481,1351,Stub
71800445,Brahim Merad,1244511083,4180,Start
35728776,Carolina Cerqueira,1241977204,11147,C
59103471,Cherif Rahmani,1053461144,997,Stub
76156983,Diamantino Pedro Azevedo,1209522689,1572,Stub
76157043,Faustina Fernandes Inglês de Almeida Alves,1251032908,1399,Stub
70373619,Fiel Domingos Constantino,1217387083,2089,Stub
72040941,Hichem Sofiane Salaouatchi,1212186286,2593,Stub
7182495,Jeremias Chitunda,1220287872,4400,Start
76157150,Jofre Van-Dúnem Júnior,1242307432,1806,Stub
71062166,João Baptista Borges,1227794006,12993,C
14941379,Kafundanga Chingunji,1191431794,2081,Stub
71976718,Kamel Rezig,1215901775,2763,Stub
71936426,Karim Bibi Triki,1213794210,4336,Start
71856593,Laid Rebiga,1248662394,1916,Stub
71984452,Lakhdar Rakhroukh,1186317568,2145,Stub
75419664,Layachi Yaker,1226060720,6464,Start
76216650,Mohamed Ali Boughazi,1213870570,3549,Start
69509983,Naima Salhi,1213404244,1260,Stub
71062546,Paulino Baptista,1242307496,3196,Start
67613741,Raul Danda,1158035855,3443,Stub
75534043,Salim Saadi,1229426851,3614,Stub
72004676,Samia Moualfi,1212181372,2076,Stub
71935626,Soraya Mouloudji,1226335614,2262,Stub
72058737,Yacine Oualid,1214837789,3437,Stub
59124706,Álvaro Arnaldo Craveiro,1194150567,879,Stub
76157147,Ana Paula Sacramento Neto,1227909121,1382,Stub
59144273,Augusto da Silva Tomás,1219179734,2787,Stub
70373382,Branca Manuel Espirito Santo,1142474441,2046,Stub
77325498,Clement Antonio,1241563106,1080,Stub
15350356,Daniel Ntongi-Nzinga,1187961349,1053,Stub
11645534,David Mendes,1024544204,1851,Stub
12740205,Elias Salupeto Pena,1220287990,2831,Start
59144241,Fernando Faustino Muteka,1241977176,3305,Stub
78105044,Francisco Manuel Monteiro de Queiróz,1250824530,89,Stub
76157012,Jesus Faria Maiato,1209631313,1639,Stub
57651944,Johnny Eduardo Pinnock,1242307359,727,Stub
264097,Jonas Savimbi,1246026420,38738,GA
59124604,José Aníbal Lopes Rocha,1242307479,2308,Stub
76157101,José Carvalho da Rocha,1242307441,1388,Stub
41153135,José Filomeno dos Santos,1228399791,10175,C
77643490,José Jacinto Van-Dúnem,1242841039,12344,C
76157091,José Luis de Matos,1242307337,1277,Stub
57583596,José Ndele,1154991360,706,Stub
76156726,José Vieira Dias Van-Dúnem,1227004140,1330,Stub
70373537,José da Rocha,1153488959,2510,Stub
72340359,João Ernesto dos Santos,1226309621,1905,Stub
15020148,Kambamba Kulaxingo,1093124425,2624,Stub
66363558,Luzia Inglês Van-Dúnem,1240720719,6282,Start
71062374,Luís Gomes Sambo,1242306989,6568,Start
59144188,Manuel Bernardo de Sousa,1233607984,2036,Stub
76151935,Manuel Neto da Costa,1209411144,1548,Stub
76151917,Manuel Tavares de Almeida,1209411217,1567,Stub
34653679,Manuel Vicente,1250493481,13264,C
76151884,Marcos Alexandre Nhunga,1209413818,1556,Stub
76151944,Maria Cândida Pereira Teixeira,1218506469,1301,Stub
76156747,Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1209513699,1991,Stub
41094312,Mfulupinga Nlando Victor,1243272129,3393,Start
76151960,Paula Cristina Francisco Coelho,1209410923,1300,Stub
