page_id,title,revision_id,article_quality_prediction,country,population,region
64024293.0,Moeen Marastial,1246567093.0,Start,Afghanistan,42.4,SOUTH ASIA
24781312.0,Mohammad Daud Miraki,1227103354.0,C,Afghanistan,42.4,SOUTH ASIA
23564221.0,Mohammad Hashem Taufiqui,1233490009.0,Start,Afghanistan,42.4,SOUTH ASIA
45419022.0,Mohammad Khan (athlete),1247727443.0,Stub,Afghanistan,42.4,SOUTH ASIA
212331.0,Mohammed Qalamuddin,1178097642.0,Stub,Afghanistan,42.4,SOUTH ASIA
29170618.0,Mohammed Tahir Omar,1185088733.0,Stub,Afghanistan,42.4,SOUTH ASIA
4928280.0,Mohammed Zaman,1229734414.0,Start,Afghanistan,42.4,SOUTH ASIA
28566318.0,Mohammed Zia Salehi,1225457074.0,Stub,Afghanistan,42.4,SOUTH ASIA
35507800.0,Nasruddin Mohseni,1136630129.0,Start,Afghanistan,42.4,SOUTH ASIA
47145503.0,Pacha Gul Wafadar,1227179979.0,Stub,Afghanistan,42.4,SOUTH ASIA
17013397.0,Razaq Mamoon,1227180106.0,Start,Afghanistan,42.4,SOUTH ASIA
51559994.0,Saber Sangar,1227951669.0,Stub,Afghanistan,42.4,SOUTH ASIA
7493859.0,Samoud Khan,1195409073.0,Start,Afghanistan,42.4,SOUTH ASIA
41840150.0,Sardar Mohammad Nadir Naeem,1204109653.0,Stub,Afghanistan,42.4,SOUTH ASIA
34845573.0,Sayed Nasim Mihanparast,1172646418.0,Stub,Afghanistan,42.4,SOUTH ASIA
68232272.0,Suhail Shaheen,1198363158.0,Start,Afghanistan,42.4,SOUTH ASIA
52202939.0,Wahidullah Waissi,1232389768.0,C,Afghanistan,42.4,SOUTH ASIA
27664625.0,Zabih-U-llah Ghazi Noristani,1136614682.0,Start,Afghanistan,42.4,SOUTH ASIA
34497282.0,Zalmai Mujadidi,1223903677.0,Start,Afghanistan,42.4,SOUTH ASIA
27656055.0,Abdul Ghafor Zori,1136614520.0,Stub,Afghanistan,42.4,SOUTH ASIA
13849010.0,Qari Ziauddin,1245217124.0,Start,Afghanistan,42.4,SOUTH ASIA
12829636.0,Ziauddin (Afghan militia leader),1150044800.0,Start,Afghanistan,42.4,SOUTH ASIA
20380987.0,Abas Ermenji,1240801210.0,Start,Albania,2.7,SOUTHERN EUROPE
20381110.0,Abdurrahman Dibra,1244008227.0,Start,Albania,2.7,SOUTHERN EUROPE
28065431.0,Ahmed Dino,1209165678.0,Stub,Albania,2.7,SOUTHERN EUROPE
20381295.0,Alfred Karamuço,1098236555.0,Stub,Albania,2.7,SOUTHERN EUROPE
26297658.0,Ali Këlcyra,1227369252.0,Start,Albania,2.7,SOUTHERN EUROPE
7249978.0,Ali Pasha of Gusinje,1244421894.0,GA,Albania,2.7,SOUTHERN EUROPE
41985495.0,Aqif Pasha Elbasani,1243882903.0,GA,Albania,2.7,SOUTHERN EUROPE
19887970.0,Azis Tahir Ajdonati,1192928746.0,Stub,Albania,2.7,SOUTHERN EUROPE
36774890.0,Aćif Hadžiahmetović,1229938943.0,GA,Albania,2.7,SOUTHERN EUROPE
17273406.0,Bajram Kelmendi,1237006808.0,Start,Albania,2.7,SOUTHERN EUROPE
30319287.0,Bardhok Biba,1250227174.0,C,Albania,2.7,SOUTHERN EUROPE
49011996.0,Bislim Bajgora,1217284690.0,C,Albania,2.7,SOUTHERN EUROPE
51293921.0,Bujar Dida,1222151681.0,C,Albania,2.7,SOUTHERN EUROPE
18022058.0,Elez Koçi,1174010569.0,Start,Albania,2.7,SOUTHERN EUROPE
41877968.0,Ferhat Bey Draga,1236738861.0,C,Albania,2.7,SOUTHERN EUROPE
32349836.0,High Council of Regency,1245450388.0,C,Albania,2.7,SOUTHERN EUROPE
41892010.0,Hysni Curri,1198914812.0,Start,Albania,2.7,SOUTHERN EUROPE
48684644.0,Ibrahim Dalliu,1248264998.0,Start,Albania,2.7,SOUTHERN EUROPE
65554476.0,Ibrahim Karbunara,1235824719.0,C,Albania,2.7,SOUTHERN EUROPE
52237560.0,Kastriot Berissa,1244463139.0,Start,Albania,2.7,SOUTHERN EUROPE
